date,open,high,low,close,volume
2023-01-03,148.51,149.96,140.96,143.15,40127658
2023-01-04,145.67,148.53,142.41,147.49,43132360
2023-01-05,144.91,145.64,141.4795,142.65,38916811
2023-01-06,144.74,150.1,140.34,148.59,40504362
2023-01-09,152.84,160.56,151.41,156.28,50423056
2023-01-10,155.07,159.6199,154.72,159.09,38410126
2023-01-11,158.3951,160.28,155.63,160.01,35328493
2023-01-12,161.0,166.37,154.92,165.11,55140906
2023-01-13,162.78,169.22,161.65,168.99,44728706
2023-01-17,168.99,177.28,168.99,177.02,51110216
2023-01-18,176.67,178.73,172.82,173.77,43962355
2023-01-19,170.36,171.97,167.31,167.65,45293160
2023-01-20,170.11,178.56,168.25,178.39,56496712
2023-01-23,180.64,192.45,178.175,191.93,65516259
2023-01-24,188.27,194.95,188.2,192.65,49620410
2023-01-25,189.125,193.7,185.8,193.23,44953711
2023-01-26,197.01,201.66,192.78,198.02,48953542
2023-01-27,194.62,206.28,194.05,203.65,54214198
2023-01-30,199.5,201.4,191.5,191.62,48861115
2023-01-31,191.695,196.87,189.5,195.37,49801658
2023-02-01,196.91,211.92,196.11,209.43,66047704
2023-02-02,210.0,219.49,207.0,217.09,56427580
2023-02-03,210.0,217.4499,207.89,211.0,42936595
2023-02-06,208.06,215.7,207.86,210.89,45219709
2023-02-07,213.82,222.59,211.5,221.73,66414961
2023-02-08,223.87,228.78,220.0801,222.05,55965122
2023-02-09,226.06,230.2,221.2,223.37,52387578
2023-02-10,216.9,220.7764,208.11,212.65,55073675
2023-02-13,215.38,220.48,209.62,217.88,47491862
2023-02-14,215.78,230.488,213.66,229.71,67547350
2023-02-15,225.49,228.55,221.06,227.64,42118826
2023-02-16,221.33,225.5,219.268,220.02,41202628
2023-02-17,216.31,217.4,209.75,213.88,46588764
2023-02-21,210.0,214.938,206.18,206.55,41001455
2023-02-22,207.07,211.04,204.21,207.54,51318432
2023-02-23,234.4,238.88,230.25,236.64,111799541
2023-02-24,232.25,234.74,229.47,232.86,58971591
2023-02-27,236.7,238.7994,234.54,235.01,45299367
2023-02-28,233.72,238.25,232.06,232.16,45596280
2023-03-01,231.92,232.5557,225.08,226.98,46002562
2023-03-02,224.88,233.804,224.32,233.14,39007465
2023-03-03,233.2,239.0,231.3,238.9,41239330
2023-03-06,238.91,242.48,234.87,235.54,43742923
2023-03-07,236.0,241.25,232.41,232.88,51515388
2023-03-08,234.87,242.0,234.235,241.81,51357339
2023-03-09,241.75,244.54,233.8284,234.36,50125699
2023-03-10,234.09,236.27,227.26,229.65,47486565
2023-03-13,227.52,232.98,222.97,229.66,42189032
2023-03-14,234.96,242.19,234.6,240.63,47491013
2023-03-15,237.61,242.86,233.6,242.28,52448574
2023-03-16,240.27,255.88,238.94,255.41,58494626
2023-03-17,259.82,263.99,256.68,257.25,84854656
2023-03-20,256.15,260.24,251.2983,259.0,43274719
2023-03-21,261.8,263.92,253.81,261.99,54740776
2023-03-22,264.25,275.89,262.37,264.68,79729511
2023-03-23,271.155,274.99,266.9,271.91,56488876
2023-03-24,270.31,271.67,263.55,267.79,45541407
2023-03-27,268.37,270.0,263.65,265.31,36102574
2023-03-28,264.47,265.13,258.5,264.1,35610378
2023-03-29,268.25,270.78,265.97,269.84,39369387
2023-03-30,272.29,274.99,271.02,273.83,36451574
2023-03-31,271.4,278.3431,271.05,277.77,43393277
2023-04-03,275.09,280.0,273.36,279.65,39871560
2023-04-04,279.66,280.0,273.07,274.53,36859153
2023-04-05,268.29,269.98,263.95,268.81,51501474
2023-04-06,265.84,270.8,264.27,270.37,39765434
2023-04-10,268.23,276.2099,266.69,275.79,39527855
2023-04-11,277.235,277.9,271.26,271.69,31437817
2023-04-12,273.7,274.6799,264.475,264.95,44625895
2023-04-13,267.34,268.869,263.29,264.63,35361528
2023-04-14,265.04,268.83,262.2,267.58,39566013
2023-04-17,265.655,270.06,264.3318,270.02,31348982
2023-04-18,275.335,281.1,273.57,276.67,60481154
2023-04-19,273.61,280.0,272.32,279.31,35866041
2023-04-20,276.71,280.3,270.0,271.04,42771326
