timestamp,open,high,low,close,volume
2025-03-03 04:00:00,124.1093,125.3692,123.0194,124.1993,1159420
2025-03-03 05:00:00,124.2193,124.3393,123.2993,123.4993,608624
2025-03-03 06:00:00,123.5093,124.0893,123.0994,123.9493,647694
2025-03-03 07:00:00,123.9493,124.9292,123.7893,124.2293,1306180
2025-03-03 08:00:00,124.3393,125.7591,123.0491,123.8993,3068333
2025-03-03 09:00:00,123.8993,124.2293,117.2549,118.9897,51135453
2025-03-03 10:00:00,119.0297,120.0196,118.2898,118.6076,54458540
2025-03-03 11:00:00,118.5998,120.1896,118.5898,118.9897,31423060
2025-03-03 12:00:00,118.9997,119.0247,116.4399,116.7999,43076787
2025-03-03 13:00:00,116.7899,116.9999,114.5001,116.5399,58276483
2025-03-03 14:00:00,116.5299,117.9898,115.0001,115.12,42223380
2025-03-03 15:00:00,115.1201,115.1601,112.2703,114.0002,86734831
2025-03-03 16:00:00,114.0002,120.1896,112.5903,114.6101,55891846
2025-03-03 17:00:00,114.6201,137.4681,108.2759,113.8602,1498527
2025-03-03 18:00:00,113.8602,114.8901,113.6802,114.4401,1211541
2025-03-03 19:00:00,114.44,114.4401,113.6902,113.9302,1274165
2025-03-04 04:00:00,114.0501,115.56,113.4902,114.7001,1066244
2025-03-04 05:00:00,114.7001,114.8401,113.3502,113.3902,973985
2025-03-04 06:00:00,113.4002,114.5201,113.2702,114.1801,906681
2025-03-04 07:00:00,114.1801,114.2101,110.3805,110.5704,5370308
2025-03-04 08:00:00,110.5804,115.52,108.8406,109.9055,12732851
2025-03-04 09:00:00,109.9205,123.3793,109.5605,112.9012,67016430
2025-03-04 10:00:00,112.9002,113.2902,110.1005,112.3953,66381556
2025-03-04 11:00:00,112.3512,115.17,110.8904,114.3741,46935694
2025-03-04 12:00:00,114.3801,116.5899,113.8502,115.5501,44135865
2025-03-04 13:00:00,115.56,117.5698,115.23,117.2649,36021494
2025-03-04 14:00:00,117.2599,118.2398,117.0299,118.1098,33540491
2025-03-04 15:00:00,118.1198,119.2997,115.0401,115.95,53861063
2025-03-04 16:00:00,115.92,122.6014,109.4271,117.6898,44803057
2025-03-04 17:00:00,117.6699,167.7336,79.2419,117.9598,939666
2025-03-04 18:00:00,117.9498,118.8497,117.7898,118.2498,1269209
2025-03-04 19:00:00,118.2498,118.5298,117.4798,117.9598,829758
2025-03-05 04:00:00,118.9897,119.1797,118.0098,118.4698,785696
2025-03-05 05:00:00,118.4698,118.5298,117.4399,117.9098,703511
2025-03-05 06:00:00,117.9198,118.1998,117.0699,117.5298,746696
2025-03-05 07:00:00,117.5498,118.0898,117.3799,117.6898,1033436
2025-03-05 08:00:00,117.7398,119.2297,110.7104,116.6598,3623341
2025-03-05 09:00:00,116.6499,117.9898,114.6301,115.1401,43181723
2025-03-05 10:00:00,115.1501,116.9899,114.6901,115.91,45536623
2025-03-05 11:00:00,115.89,116.3899,114.5001,115.88,37070197
2025-03-05 12:00:00,115.87,117.8998,115.44,117.7248,28183259
2025-03-05 13:00:00,117.7098,117.8998,115.73,117.3199,26935384
2025-03-05 14:00:00,117.3099,118.2198,116.7199,117.5043,25325085
2025-03-05 15:00:00,117.4898,118.2679,116.7499,117.2899,35859225
2025-03-05 16:00:00,117.2799,124.3452,108.8773,117.17,46754518
2025-03-05 17:00:00,117.189,117.2899,116.7699,116.7899,3014518
2025-03-05 18:00:00,116.7699,116.9199,116.5899,116.6399,406867
2025-03-05 19:00:00,116.6799,116.8099,116.4899,116.5098,369038
2025-03-06 04:00:00,119.6297,119.6297,114.5501,114.9301,1229563
2025-03-06 05:00:00,114.9101,115.48,114.2601,114.9301,757036
2025-03-06 06:00:00,114.9201,115.19,114.5701,114.7801,596959
2025-03-06 07:00:00,114.8001,115.0801,113.4102,113.6702,1850849
